,dataset,non_iid,aggregator,attack,fraction,accuracy_m,accuracy_s
0,adni,0.4,combine,labelflip,0.1,0.700289860367775,0.0010355746048956644
1,adni,0.4,combine,labelflip,0.3,0.65456523001194,0.0008776905678303006
2,adni,0.4,combine,labelflip,0.5,0.6582608819007874,0.004139540166559075
3,adni,0.4,combine,signflip,0.1,0.7149999886751175,0.0011487254572477095
4,adni,0.4,combine,signflip,0.3,0.6568840593099594,0.008572160676142176
5,adni,0.4,combine,signflip,0.5,0.4934058040380478,0.0003243943197008069
