,dataset,non_iid,aggregator,attack,fraction,accuracy_m,accuracy_s
94,mnist,0.4,fedavg,randomupdate,0.3,0.10000000149011612,0.0004405673925767899
95,mnist,0,fedavg,signflip,0.1,0.10000000149011612,0.0
96,mnist,0.4,krum,labelflip,0.1,0.38595000654459,0.25149722999706464
97,mnist,0.7,trimmedmean,randomupdate,0.3,0.6232750117778778,0.04959669574156079
98,mnist,0.4,trimmedmean,backdoor,0.5,1.0,0.0
99,mnist,0.7,krum,backdoor,0.5,0.053999999538064,0.06905099840464432
100,mnist,0.7,fedavg,signflip,0.1,0.10000000149011612,0.0
101,mnist,0.7,median,signflip,0.1,0.7766500115394592,0.05039714429636762
102,mnist,0,krum,signflip,0.3,0.8370999991893768,0.009677478649033976
103,mnist,0,krum,signflip,0.5,0.8158499896526337,0.03309218530877453
104,mnist,0.7,krum,labelflip,0.3,0.024399999529123306,0.07474364324327894
105,mnist,0,krum,labelflip,0.1,0.11150000244379044,0.3332943124010335
106,mnist,0,median,randomupdate,0.3,0.8184499740600586,0.0515653426952872
107,mnist,0.7,trimmedmean,overlapdata,0.3,0.8341500163078308,0.016517938354458552
108,mnist,0.4,trimmedmean,overlapdata,0.3,0.8615999817848206,0.015453305680378115
109,mnist,0,fedavg,labelflip,0.3,0.8736000061035156,0.10701387823033309
110,mnist,0.4,trimmedmean,deletedata,0.1,0.8721499890089035,0.011711000678581237
111,mnist,0,fedavg,unbalancedata,0.3,0.8925000131130219,0.001793231321904606
112,mnist,0.4,median,backdoor,0.5,0.9990000128746033,0.0009481433109260849
113,mnist,0.7,trimmedmean,deletedata,0.1,0.859825000166893,0.017656846385931506
114,mnist,0,krum,backdoor,0.1,0.0,0.000800000037997961
115,mnist,0,trimmedmean,randomupdate,0.5,0.1000250019133091,0.007208224975490192
116,mnist,0,median,noisedata,0.1,0.8854499757289886,0.002026273484698212
117,mnist,0,fedavg,deletedata,0.5,0.8879749923944473,0.0016077558787022657
118,mnist,0.7,krum,noisedata,0.5,0.5936499983072281,0.05213073591554335
119,mnist,0.4,krum,backdoor,0.5,0.009500000160187483,0.013127444332496274
120,mnist,0.7,trimmedmean,backdoor,0.3,0.9980000257492065,0.0007999897003173828
121,mnist,0.7,median,signflip,0.3,0.3359000124037266,0.12419989612048733
122,mnist,0.4,fedavg,noisedata,0.5,0.854324996471405,0.010303631821982694
123,mnist,0.7,fedavg,randomupdate,0.1,0.10000000149011612,0.0003832753726503437
124,mnist,0.7,krum,labelflip,0.5,0.019924999913200736,0.009791343013103282
125,mnist,0.4,krum,randomupdate,0.5,0.7015250027179718,0.03350224864848439
126,mnist,0.4,krum,unbalancedata,0.5,0.6949000060558319,0.055155620850083624
127,mnist,0.7,trimmedmean,overlapdata,0.1,0.8423500061035156,0.016827008815707634
128,mnist,0,fedavg,deletedata,0.3,0.8914999961853027,0.0011128432424631625
129,mnist,0.7,median,noisedata,0.1,0.81147500872612,0.030364569215388666
130,mnist,0.4,fedavg,unbalancedata,0.3,0.8801500201225281,0.01311034647607622
131,mnist,0.7,krum,randomupdate,0.5,0.5995000004768372,0.03743028469056396
132,mnist,0,median,unbalancedata,0.3,0.8900499939918518,0.0018177927849732252
133,mnist,0.7,trimmedmean,backdoor,0.1,0.9979999959468842,0.0012382254317306596
134,mnist,0.4,fedavg,labelflip,0.3,0.8432999849319458,0.05260000786542772
135,mnist,0,krum,noisedata,0.5,0.8337499797344208,0.014277207018050997
136,mnist,0.7,fedavg,noisedata,0.5,0.8228000104427338,0.01749857959957647
137,mnist,0,trimmedmean,noisedata,0.1,0.885450005531311,0.0029676457252575117
138,mnist,0.4,median,labelflip,0.5,0.6940000057220459,0.24866627945689163
139,mnist,0.7,fedavg,deletedata,0.3,0.8619250059127808,0.017393509783541594
140,mnist,0.7,trimmedmean,unbalancedata,0.5,0.8145999908447266,0.02735547499332407
141,mnist,0.7,trimmedmean,labelflip,0.1,0.8340499997138977,0.022417150863815453
142,mnist,0.4,krum,deletedata,0.3,0.697299987077713,0.04135662589754313
143,mnist,0.4,krum,overlapdata,0.5,0.7126749902963638,0.03384345218712533
144,mnist,0.4,krum,unbalancedata,0.3,0.7242499887943268,0.025483504978056702
145,mnist,0.4,fedavg,labelflip,0.5,0.5547250062227249,0.28421061249290547
146,mnist,0.7,trimmedmean,randomupdate,0.1,0.6480999886989594,0.07414372370459793
147,mnist,0,fedavg,overlapdata,0.5,0.8876999914646149,0.002573740143311473
148,mnist,0,trimmedmean,unbalancedata,0.5,0.8877499997615814,0.0023588973729624053
149,mnist,0.4,trimmedmean,randomupdate,0.5,0.10000000149011612,0.006935058067900099
150,mnist,0.4,trimmedmean,signflip,0.5,0.10000000149011612,0.0
151,mnist,0.7,fedavg,labelflip,0.1,0.8555500209331512,0.010393869940815663
152,mnist,0.4,median,labelflip,0.3,0.83160001039505,0.11977361794359714
153,mnist,0,krum,clean,0,0.8316999971866608,0.015824065133270507
154,mnist,0.4,median,unbalancedata,0.3,0.8489999920129776,0.01679585849968928
155,mnist,0.7,trimmedmean,unbalancedata,0.1,0.8603499829769135,0.02089962284842648
156,mnist,0.7,krum,overlapdata,0.1,0.6138499975204468,0.03354711632038178
157,mnist,0,krum,overlapdata,0.3,0.8273999989032745,0.017094750128972533
158,mnist,0,krum,backdoor,0.3,0.0020000000949949026,0.0012000000272463596
159,mnist,0.7,fedavg,deletedata,0.5,0.8639000058174133,0.01479725288106197
160,mnist,0.4,fedavg,deletedata,0.1,0.8776499927043915,0.00820082290326946
161,mnist,0.7,median,unbalancedata,0.1,0.8317500054836273,0.030103957618325686
162,mnist,0.4,median,randomupdate,0.5,0.10000000149011612,0.004299742525127012
163,mnist,0,krum,backdoor,0.5,0.06399999931454659,0.035577520893783195
164,mnist,0.7,trimmedmean,clean,0,0.8625500202178955,0.022723692249143917
165,mnist,0.7,krum,noisedata,0.3,0.6099999845027924,0.04082428487910284
166,mnist,0.7,median,backdoor,0.1,0.4259999990463257,0.0293700541516637
167,mnist,0,fedavg,backdoor,0.5,0.9979999959468842,0.0
168,mnist,0.4,krum,signflip,0.3,0.7205499857664108,0.030287205642584452
169,mnist,0.7,fedavg,unbalancedata,0.3,0.8592999875545502,0.011009127800940814
170,mnist,0.7,krum,signflip,0.5,0.46472499519586563,0.06867992843315746
171,mnist,0.7,trimmedmean,noisedata,0.3,0.8262499868869781,0.017588061156149797
172,mnist,0.4,median,randomupdate,0.1,0.8561500012874603,0.023060517808389608
173,mnist,0.7,trimmedmean,backdoor,0.5,1.0,0.0
174,mnist,0.4,krum,noisedata,0.3,0.6889500021934509,0.06285032864138002
175,mnist,0,krum,deletedata,0.3,0.8320000171661377,0.006046879833356084
176,mnist,0,fedavg,backdoor,0.1,1.0,0.0005999922752380372
177,mnist,0.7,fedavg,signflip,0.3,0.10000000149011612,0.0
178,mnist,0,median,overlapdata,0.1,0.8886500000953674,0.0018959600834956947
179,mnist,0,median,labelflip,0.3,0.8781499862670898,0.19079885007336467
180,mnist,0.4,trimmedmean,overlapdata,0.1,0.8635499775409698,0.014249851791944537
181,mnist,0,fedavg,noisedata,0.1,0.8854249864816666,0.0047518487958902135
182,mnist,0.7,median,unbalancedata,0.5,0.8393749892711639,0.04280497890432398
183,mnist,0.7,fedavg,overlapdata,0.3,0.84825000166893,0.031252586000775726
184,mnist,0.7,trimmedmean,signflip,0.5,0.10000000149011612,0.0
185,mnist,0,krum,overlapdata,0.1,0.8422999978065491,0.011264266346039355
186,mnist,0.4,krum,deletedata,0.5,0.7341999709606171,0.02736513226865652
187,mnist,0.4,trimmedmean,labelflip,0.1,0.8727249950170517,0.013405375399959323
188,mnist,0.7,median,labelflip,0.5,0.4724000096321106,0.11312840359180568
189,mnist,0,fedavg,signflip,0.5,0.10000000149011612,0.0
190,mnist,0,krum,noisedata,0.3,0.8350499868392944,0.02028814863421606
191,mnist,0,fedavg,randomupdate,0.3,0.10000000149011612,0.00034871286147117726
192,mnist,0,trimmedmean,randomupdate,0.1,0.7574500143527985,0.09587921508004449
193,mnist,0,krum,unbalancedata,0.5,0.8393249958753586,0.028659677125106173
194,mnist,0.7,trimmedmean,deletedata,0.3,0.8420000076293945,0.014342165091712905
195,mnist,0,krum,randomupdate,0.3,0.8178000003099442,0.02708299526088138
196,mnist,0,trimmedmean,noisedata,0.5,0.8718500137329102,0.0029084680104394123
197,mnist,0.7,krum,signflip,0.3,0.576449990272522,0.03522208302638611
198,mnist,0,trimmedmean,overlapdata,0.1,0.8914500176906586,0.0021757781743980435
199,mnist,0.4,krum,backdoor,0.1,0.005999999993946403,0.009655879760880226
200,mnist,0.4,trimmedmean,deletedata,0.3,0.8623999953269958,0.011720547703044985
201,mnist,0.7,median,randomupdate,0.1,0.8355999886989594,0.019823938462009742
202,mnist,0.4,median,noisedata,0.3,0.8560999929904938,0.01262933354475031
203,mnist,0.4,fedavg,signflip,0.3,0.10000000149011612,0.0
204,mnist,0.7,fedavg,unbalancedata,0.1,0.8559750020503998,0.015627460360053892
205,mnist,0,median,unbalancedata,0.1,0.8903000056743622,0.0015952636973784635
206,mnist,0.4,krum,backdoor,0.3,0.0025000001187436283,0.006144916480951198
207,mnist,0,trimmedmean,labelflip,0.5,0.48465000092983246,0.29398049370244894
208,mnist,0,median,backdoor,0.3,0.9940000176429749,0.0017435603760510632
209,mnist,0.7,trimmedmean,signflip,0.1,0.7989500164985657,0.07311649206628505
210,mnist,0.4,trimmedmean,randomupdate,0.1,0.7382000088691711,0.024384745876969247
211,mnist,0,trimmedmean,labelflip,0.3,0.8753000050783157,0.01848542582595842
212,mnist,0.4,fedavg,signflip,0.5,0.10000000149011612,0.0
213,mnist,0,trimmedmean,clean,0,0.8911999762058258,0.0019109191940273993
214,mnist,0.4,fedavg,overlapdata,0.3,0.8734000027179718,0.008277839198080474
215,mnist,0.4,fedavg,unbalancedata,0.1,0.8756499886512756,0.015873179430066227
216,mnist,0.4,krum,labelflip,0.3,0.01940000057220459,0.12170782829717247
217,mnist,0,trimmedmean,signflip,0.5,0.10000000149011612,0.0
218,mnist,0,fedavg,overlapdata,0.3,0.892549991607666,0.0030764375037777843
219,mnist,0.4,median,deletedata,0.1,0.8485250025987625,0.02667426825833986
220,mnist,0.4,trimmedmean,labelflip,0.5,0.6914750188589096,0.25711068186238406
221,mnist,0,krum,unbalancedata,0.3,0.8300999999046326,0.015574957833859482
222,mnist,0.7,fedavg,backdoor,0.1,1.0,0.0009165033392223612
223,mnist,0.4,krum,randomupdate,0.1,0.6930000185966492,0.04329890182539718
224,mnist,0.4,fedavg,noisedata,0.1,0.8649500012397766,0.009157305868881823
225,mnist,0,median,backdoor,0.5,0.9959999918937683,0.0009165033392223611
226,mnist,0,krum,unbalancedata,0.1,0.8217000067234039,0.015527967782622675
227,mnist,0.7,fedavg,labelflip,0.5,0.680850014090538,0.21695664116751157
228,mnist,0,median,deletedata,0.5,0.8831000030040741,0.0015801291380565402
229,mnist,0.7,trimmedmean,overlapdata,0.5,0.7879500091075897,0.031760382318000546
230,mnist,0.4,fedavg,labelflip,0.1,0.8778999894857407,0.006823313640558057
231,mnist,0.7,median,randomupdate,0.5,0.10000000149011612,0.0005980104359370784
232,mnist,0.7,krum,labelflip,0.1,0.5476999878883362,0.04767179059439184
233,mnist,0,median,unbalancedata,0.5,0.8892000019550323,0.004206432986269456
234,mnist,0,trimmedmean,signflip,0.1,0.8745249956846237,0.013288102760406267
235,mnist,0.4,trimmedmean,noisedata,0.3,0.8475500047206879,0.01849868853346162
236,mnist,0,krum,labelflip,0.5,0.05537499999627471,0.039178005396724516
237,mnist,0,fedavg,backdoor,0.3,1.0,0.0010582665426857568
238,mnist,0.7,median,deletedata,0.3,0.8338249921798706,0.019488630576521032
239,mnist,0.4,trimmedmean,noisedata,0.1,0.8640000075101852,0.013624243998408305
240,mnist,0.7,fedavg,noisedata,0.3,0.8510000109672546,0.017281490194036634
241,mnist,0.4,fedavg,backdoor,0.3,1.0,0.0
242,mnist,0.4,fedavg,randomupdate,0.5,0.10000000149011612,0.0001248994495424105
243,mnist,0.7,krum,randomupdate,0.3,0.6226000040769577,0.04361708753057362
244,mnist,0.4,krum,noisedata,0.5,0.6834499835968018,0.051006915205895315
245,mnist,0.4,fedavg,deletedata,0.5,0.8796499967575073,0.00821156779418308
246,mnist,0.4,krum,deletedata,0.1,0.7447500079870224,0.06891563698443257
247,mnist,0.4,trimmedmean,clean,0,0.875650018453598,0.00854795176543189
248,mnist,0,fedavg,noisedata,0.5,0.8721750229597092,0.002270851297805831
249,mnist,0.7,median,noisedata,0.5,0.8051000237464905,0.030145116157025798
250,mnist,0.4,median,signflip,0.5,0.10000000149011612,0.0
251,mnist,0,median,backdoor,0.1,0.5370000004768372,0.06674848152348146
252,mnist,0.4,fedavg,deletedata,0.3,0.8715749979019165,0.008193875853816793
253,mnist,0.7,median,overlapdata,0.1,0.8118750005960464,0.03168460762115102
254,mnist,0.4,median,backdoor,0.3,1.0,0.0007999897003173828
255,mnist,0,trimmedmean,labelflip,0.1,0.8916999995708466,0.003235569806224762
256,mnist,0.4,fedavg,overlapdata,0.1,0.8775499761104584,0.011301216322551726
257,mnist,0.4,krum,signflip,0.1,0.7102999985218048,0.027741807410881482
258,mnist,0.7,trimmedmean,labelflip,0.3,0.8005499839782715,0.030315571433381077
259,mnist,0,fedavg,labelflip,0.1,0.8871999979019165,0.003967623092670813
260,mnist,0.7,fedavg,overlapdata,0.5,0.8368750065565109,0.029352888106719714
261,mnist,0.4,median,signflip,0.1,0.8457500040531158,0.021759860016296588
262,mnist,0.7,fedavg,noisedata,0.1,0.8644999861717224,0.00771432437105463
263,mnist,0.7,krum,backdoor,0.3,0.009000000252854079,0.02531718800411781
264,mnist,0.4,trimmedmean,backdoor,0.1,0.9959999918937683,0.0010770390180828366
265,mnist,0.7,krum,noisedata,0.1,0.5834999978542328,0.023880165240001496
266,mnist,0.7,median,signflip,0.5,0.10000000149011612,0.0
267,mnist,0,median,randomupdate,0.1,0.8884500116109848,0.0018837229122285598
268,mnist,0,trimmedmean,backdoor,0.3,1.0,0.0
269,mnist,0.4,trimmedmean,unbalancedata,0.5,0.8501499891281128,0.008676978998213793
270,mnist,0.4,krum,overlapdata,0.3,0.7049500048160553,0.0321424390192617
271,mnist,0.7,fedavg,deletedata,0.1,0.8485750108957291,0.018692873579777006
272,mnist,0,fedavg,unbalancedata,0.5,0.8924499750137329,0.0022973844775170953
273,mnist,0.7,fedavg,clean,0,0.8631500005722046,0.012673697378862911
274,mnist,0.4,median,unbalancedata,0.5,0.8661499917507172,0.015427903932412166
275,mnist,0.7,trimmedmean,signflip,0.3,0.10000000149011612,0.0
276,mnist,0.7,median,deletedata,0.1,0.8021499961614609,0.054930322056483294
277,mnist,0.7,fedavg,signflip,0.5,0.10000000149011612,0.0
278,mnist,0.4,trimmedmean,randomupdate,0.3,0.6901250034570694,0.049957473070634396
279,mnist,0.4,trimmedmean,unbalancedata,0.1,0.8723499774932861,0.014332599018981386
280,mnist,0,trimmedmean,backdoor,0.1,0.9940000176429749,0.0014000049659960876
281,mnist,0.4,fedavg,randomupdate,0.1,0.10000000149011612,0.0004148497655701888
282,mnist,0.7,median,clean,0,0.8376500010490417,0.04997745259087511
283,mnist,0,fedavg,noisedata,0.3,0.87882499396801,0.003338029160561166
284,mnist,0.7,krum,unbalancedata,0.5,0.5593500137329102,0.038561046303950255
285,mnist,0.4,trimmedmean,overlapdata,0.5,0.854200005531311,0.015098604258476584
286,mnist,0.7,trimmedmean,noisedata,0.1,0.8508000075817108,0.023085998159052046
287,mnist,0.7,fedavg,backdoor,0.5,0.9990000128746033,0.0004899062414115044
288,mnist,0.7,krum,signflip,0.1,0.5963000059127808,0.04246114251218094
289,mnist,0,median,labelflip,0.5,0.3826749958097935,0.33131605487283894
290,mnist,0,fedavg,clean,0,0.893750011920929,0.0019576160949432396
291,mnist,0.7,fedavg,overlapdata,0.1,0.8636000156402588,0.017394042626359903
292,mnist,0,median,noisedata,0.3,0.8796499967575073,0.004586045330028854
293,mnist,0.4,median,backdoor,0.1,0.46299999952316284,0.03793098243824077
294,mnist,0,krum,labelflip,0.3,0.021799999987706542,0.2066383737819093
295,mnist,0,fedavg,overlapdata,0.1,0.8931999802589417,0.0031514467911334886
296,mnist,0.7,median,deletedata,0.5,0.8385999798774719,0.023996025036828347
297,mnist,0.4,trimmedmean,labelflip,0.3,0.8474500179290771,0.03698454658218788
298,mnist,0.7,krum,deletedata,0.3,0.6516999900341034,0.051433871724727666
299,mnist,0.7,krum,overlapdata,0.5,0.5793000161647797,0.037051546331019314
